                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.41743,                0.65263,                0.31713,                 1.0144,                0.97762,                0.89831,                0.93195,                0.78947,                0.98814,                0.86441,                0.92073,                0.72206,                0.57486,                  1.558,                0.55068,                 1.0848,              0.0004358,              0.0004358,              0.0004358
                     81,                0.38844,                0.63336,                0.30397,                0.97537,                      1,                0.89612,                0.93661,                0.78054,                0.98109,                0.87917,                0.92416,                0.70599,                0.59039,                 1.6335,                0.54038,                 1.0509,               0.000416,               0.000416,               0.000416
                     82,                0.42559,                0.72526,                0.33298,                0.97609,                0.97804,                0.91525,                0.93499,                0.79143,                0.95983,                0.89831,                0.92989,                0.70828,                0.60718,                 1.6925,                0.49434,                 1.0717,              0.0003962,              0.0003962,              0.0003962
                     83,                0.44185,                0.69473,                0.33031,                0.98229,                0.98181,                0.91498,                0.93534,                0.80551,                0.96363,                 0.8981,                0.92841,                0.71012,                0.59563,                 1.6865,                0.48117,                 1.1012,              0.0003764,              0.0003764,              0.0003764
                     84,                0.38701,                0.63052,                0.30841,                0.98433,                0.99701,                0.88136,                0.91974,                0.78646,                0.94714,                0.91108,                 0.9311,                0.73423,                0.61347,                 1.5802,                0.48853,                 1.1143,              0.0003566,              0.0003566,              0.0003566
                     85,                0.40803,                0.58848,                0.31501,                 0.9806,                0.99538,                0.88136,                0.92021,                0.79128,                0.98113,                0.88116,                0.92694,                0.74217,                0.59624,                 1.5327,                0.49031,                 1.0983,              0.0003368,              0.0003368,              0.0003368
                     86,                0.38867,                0.62467,                0.27595,                0.95897,                      1,                0.89701,                0.93616,                0.79577,                0.98111,                0.88016,                0.92008,                0.74698,                0.57628,                 1.4983,                0.47939,                 1.0808,               0.000317,               0.000317,               0.000317
                     87,                0.39653,                 0.6419,                0.30137,                0.96753,                0.99675,                0.88136,                0.91799,                0.78283,                0.98089,                0.88136,                0.92029,                0.73204,                  0.596,                 1.5441,                0.46215,                 1.0962,              0.0002972,              0.0002972,              0.0002972
                     88,                0.38039,                0.61163,                0.28017,                0.96651,                      1,                0.89788,                 0.9392,                0.80037,                0.98112,                  0.881,                0.92539,                0.74111,                0.62371,                 1.5677,                0.47449,                 1.1222,              0.0002774,              0.0002774,              0.0002774
                     89,                0.38869,                0.58726,                0.29378,                0.97994,                0.96222,                0.94915,                0.94919,                0.80735,                0.94488,                 0.9322,                0.94137,                0.75382,                0.56579,                 1.5796,                0.46264,                 1.0929,              0.0002576,              0.0002576,              0.0002576
                     90,                0.40688,                 0.6975,                0.30638,                0.97954,                0.98069,                0.94915,                0.94885,                0.79274,                0.96292,                 0.9322,                0.94089,                0.74827,                0.56587,                 1.5754,                0.45356,                 1.1108,              0.0002378,              0.0002378,              0.0002378
                     91,                0.29524,                0.69341,                0.55192,                0.93831,                0.95955,                0.94915,                 0.9462,                0.79238,                0.94175,                 0.9322,                0.93987,                0.74501,                0.55976,                 1.6169,                0.46742,                 1.1006,               0.000218,               0.000218,               0.000218
                     92,                0.26348,                0.45742,                0.36349,                0.91146,                      1,                0.89806,                0.94467,                0.79817,                0.95684,                0.89831,                0.94215,                0.76008,                0.55227,                 1.6378,                0.52088,                 1.0615,              0.0001982,              0.0001982,              0.0001982
                     93,                0.21692,                0.43996,                0.28027,                0.87593,                0.97867,                0.89831,                0.93388,                0.80001,                0.93086,                0.91282,                0.93225,                0.74622,                0.54311,                 1.6814,                0.54458,                 1.0403,              0.0001784,              0.0001784,              0.0001784
                     94,                0.23422,                0.49108,                0.31545,                0.89371,                0.98004,                0.89831,                0.92209,                0.77817,                0.96356,                0.89645,                0.91871,                0.73613,                0.55909,                 1.6552,                0.58792,                 1.0581,              0.0001586,              0.0001586,              0.0001586
                     95,                0.23438,                0.46499,                0.29834,                 0.8801,                0.98112,                0.89831,                0.92487,                 0.7838,                0.96363,                0.89805,                0.92124,                0.73924,                0.55341,                 1.6183,                0.55986,                 1.0741,              0.0001388,              0.0001388,              0.0001388
                     96,                0.22642,                0.43102,                0.25552,                0.86913,                0.98147,                0.89775,                0.93537,                0.79108,                0.96357,                0.89662,                0.93388,                0.76551,                0.56107,                 1.6058,                0.53726,                 1.0902,               0.000119,               0.000119,               0.000119
                     97,                0.23644,                0.44277,                0.33564,                0.88112,                0.98174,                 0.9115,                0.93847,                0.79729,                0.96349,                0.89464,                0.93532,                 0.7509,                 0.5808,                 1.6119,                0.52421,                 1.1217,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.23059,                0.42757,                0.26863,                0.87541,                0.98179,                0.91407,                0.93916,                0.79112,                 0.9636,                0.89744,                0.92864,                0.74681,                 0.5852,                 1.6212,                0.50489,                 1.1327,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.20993,                0.39706,                0.26105,                0.85497,                0.98206,                0.92787,                0.93938,                0.79257,                0.96414,                0.91133,                0.92372,                0.74843,                0.55582,                 1.6264,                 0.4887,                 1.0955,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.19579,                0.38329,                0.23086,                0.86164,                0.98049,                 0.9322,                0.93993,                 0.7992,                0.96266,                0.91525,                0.92356,                0.74967,                0.54955,                 1.6178,                0.48335,                 1.0878,               3.98e-05,               3.98e-05,               3.98e-05
