                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.46953,                0.78823,                0.39512,                0.96883,                 0.9309,                0.91338,                0.91582,                0.77421,                0.96426,                0.91466,                0.91706,                 0.7397,                0.59096,                 1.3447,                0.56153,                0.96582,              0.0005546,              0.0005546,              0.0005546
                     75,                0.45965,                0.72853,                0.38378,                0.95361,                0.95599,                0.89831,                0.91667,                0.77796,                0.97078,                0.91525,                0.91927,                0.73613,                0.62013,                 1.4405,                0.59764,                 1.0149,              0.0005348,              0.0005348,              0.0005348
                     76,                0.48208,                0.78647,                 0.3951,                0.95953,                0.94308,                0.89831,                0.91668,                0.78726,                0.94308,                0.89831,                0.91668,                 0.7385,                0.54658,                 1.3895,                0.59511,                  0.941,               0.000515,               0.000515,               0.000515
                     77,                0.44907,                0.66165,                0.37368,                0.95867,                0.96013,                0.91525,                0.91978,                0.80513,                0.96013,                0.91525,                0.91978,                0.72856,                0.52504,                 1.5437,                0.56587,                0.90938,              0.0004952,              0.0004952,              0.0004952
                     78,                0.46131,                0.73906,                0.37578,                0.96482,                      1,                0.91306,                0.92284,                0.81156,                0.98145,                0.89673,                0.90398,                0.72329,                 0.5028,                 1.6703,                0.51799,                 0.8875,              0.0004754,              0.0004754,              0.0004754
                     79,                0.46032,                0.75701,                0.37995,                0.94809,                      1,                 0.9134,                0.92194,                0.81681,                      1,                 0.9134,                0.92194,                 0.7413,                0.50198,                  1.472,                 0.4946,                0.89031,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.4767,                0.74138,                0.39589,                 0.9822,                0.97842,                0.91525,                0.92032,                0.82182,                0.97842,                0.91525,                0.92032,                0.74986,                0.53967,                 1.3689,                0.48546,                0.95114,              0.0004358,              0.0004358,              0.0004358
                     81,                0.44751,                0.76004,                0.36687,                0.95593,                0.96367,                0.91525,                0.91851,                0.80757,                0.96367,                0.91525,                0.91851,                0.75368,                0.56498,                 1.3324,                 0.5215,                0.98206,               0.000416,               0.000416,               0.000416
                     82,                0.48346,                 0.8189,                0.40019,                0.95744,                0.98784,                0.89831,                0.91585,                0.77472,                 0.9793,                0.88136,                0.89759,                0.72815,                0.58628,                 1.4045,                 0.5689,                0.98438,              0.0003962,              0.0003962,              0.0003962
                     83,                0.49443,                0.79844,                0.39278,                0.97392,                      1,                0.87513,                 0.8998,                0.78474,                0.98918,                0.84746,                0.88822,                0.73068,                 0.5846,                 1.4299,                0.61799,                0.96412,              0.0003764,              0.0003764,              0.0003764
                     84,                0.44683,                0.74464,                0.37856,                0.95251,                0.98067,                0.85995,                0.89716,                0.77883,                      1,                0.84403,                0.89088,                0.72223,                0.56917,                 1.5048,                0.58631,                0.96915,              0.0003566,              0.0003566,              0.0003566
                     85,                0.45403,                0.66967,                0.36832,                0.95068,                0.92969,                0.89654,                0.89794,                0.77428,                0.97281,                0.83051,                0.88705,                0.73414,                0.57799,                  1.451,                0.57938,                0.97836,              0.0003368,              0.0003368,              0.0003368
                     86,                0.43166,                0.73398,                 0.3527,                0.93989,                0.94567,                0.89831,                0.90581,                0.78638,                0.92774,                0.88136,                0.89321,                0.73171,                0.57566,                 1.3657,                0.55095,                0.97232,               0.000317,               0.000317,               0.000317
                     87,                  0.441,                0.74993,                0.38017,                0.94812,                0.94489,                0.89831,                0.91952,                0.79879,                0.95591,                0.89831,                 0.9197,                0.74749,                0.56809,                 1.3446,                0.51361,                0.95921,              0.0002972,              0.0002972,              0.0002972
                     88,                0.41974,                0.68176,                0.34184,                0.95041,                0.97192,                0.88136,                0.92934,                0.79012,                0.97192,                0.88136,                0.92934,                0.75407,                0.57396,                 1.3333,                0.50503,                0.96524,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.4258,                0.65619,                0.35791,                0.94445,                 0.9794,                0.88136,                0.92425,                0.79188,                0.95955,                0.86441,                0.90782,                0.73943,                0.58206,                 1.3717,                0.52979,                0.97336,              0.0002576,              0.0002576,              0.0002576
                     90,                0.47176,                0.79012,                0.37446,                 0.9584,                0.92853,                0.89831,                0.91338,                0.76666,                0.91095,                0.88136,                0.89697,                0.72974,                0.59174,                 1.4038,                0.53002,                0.99775,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.3349,                0.64729,                0.73546,                0.91009,                0.94488,                0.89831,                0.91362,                0.76642,                0.92705,                0.88136,                0.89825,                0.71906,                 0.5726,                  1.469,                0.58312,                 0.9965,               0.000218,               0.000218,               0.000218
                     92,                0.29763,                0.49602,                0.50692,                0.87705,                0.94531,                0.89831,                0.90958,                0.77278,                0.92745,                0.88136,                0.89125,                0.70425,                0.58324,                 1.6439,                 0.6312,                 1.0093,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.2907,                0.48073,                0.39081,                0.86739,                0.94637,                0.89729,                0.90413,                0.77159,                0.92849,                0.88034,                0.88627,                0.69986,                0.58528,                 1.7446,                0.60343,                 1.0451,              0.0001784,              0.0001784,              0.0001784
                     94,                0.27001,                0.48703,                0.37981,                0.86615,                0.94638,                0.89754,                0.90405,                0.77184,                0.92851,                0.88062,                0.88713,                0.71104,                0.59464,                 1.6634,                0.57379,                 1.0681,              0.0001586,              0.0001586,              0.0001586
                     95,                0.28367,                0.49564,                0.36128,                0.88195,                0.94637,                0.89733,                0.90117,                0.77853,                 0.9285,                0.88038,                 0.8866,                0.72151,                0.58705,                 1.5654,                 0.5651,                 1.0624,              0.0001388,              0.0001388,              0.0001388
                     96,                0.26932,                0.50488,                0.32364,                0.87343,                 0.9464,                0.89775,                0.90257,                0.76946,                0.92853,                0.88084,                0.88714,                  0.728,                0.58619,                 1.5243,                0.56324,                 1.0578,               0.000119,               0.000119,               0.000119
                     97,                0.30136,                0.50147,                0.40261,                0.88377,                0.94637,                0.89831,                0.90924,                0.77944,                0.94388,                0.86441,                0.89068,                0.72752,                0.58084,                 1.5076,                0.55822,                  1.054,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.26976,                0.49345,                0.33262,                0.88524,                0.94584,                0.89831,                0.91251,                0.77507,                0.94373,                0.86441,                0.89315,                0.72774,                0.57666,                 1.4939,                0.55811,                 1.0468,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.24904,                0.46701,                0.32612,                0.85513,                0.96076,                0.88136,                0.91336,                0.78147,                 0.9429,                0.86441,                0.89396,                0.72683,                0.57503,                 1.5135,                0.53566,                 1.0471,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.23827,                0.43001,                0.26947,                0.85369,                0.96363,                0.89822,                0.91429,                0.77947,                0.94545,                0.88134,                0.89474,                0.72462,                0.57584,                 1.5112,                0.52251,                 1.0436,               3.98e-05,               3.98e-05,               3.98e-05
